,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.label_1,properties.score_1,properties.id_1,properties.type_1,properties.x_1,properties.y_1,properties.importance_1,properties.name_1,properties.postcode_1,properties.citycode_1,properties.city_1,properties.district_1,properties.context_1,properties.housenumber_1,properties.street_1
10,12,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ber,,,,,,"fab rue du faubourg saint martin ; dépôt rue bourg l'abbé, 51",,,rue,du,faubourg saint martin,39,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.356214161952,48.8705743314219,39  rue du faubourg saint martin,Feature,Point,2.356342,48.870593,39 Rue du Faubourg Saint-martin 75010 Paris,0.9591972727272727,75110_3522_00039,housenumber,652785.6,6863588.7,0.55117,39 Rue du Faubourg Saint-martin,75010,75110,Paris,Paris 10e Arrondissement,"75, Paris, Île-de-France",39,Rue du Faubourg Saint-martin
11,13,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ber,,,,,,"fab rue du faubourg saint martin ; dépot rue bourg l'abbé, 52",,,rue,,bourg l'abbé,52,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35143917087788,48.864995401327896,52  rue  bourg l'abbé,Feature,Point,2.352533,48.863769,Rue du Bourg l'Abbé 75003 Paris,0.6950397402597402,75103_1200,street,652499.98,6862832.14,0.50258,Rue du Bourg l'Abbé,75003,75103,Paris,Paris 3e Arrondissement,"75, Paris, Île-de-France",,
12,14,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bernardin,,,,,,fabr,,,rue,du,caire,16,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35034100464644,48.867719493169005,16  rue du caire,Feature,Point,2.351222,48.867478,16 Rue du Caire 75002 Paris,0.9523227272727272,75102_1432_00016,housenumber,652407.17,6863245.41,0.47555,16 Rue du Caire,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",16,Rue du Caire
13,15,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"blondel, h",,,,,,"et nouveautés en tout genre , dépôtd e broderies de nancy de mm balbastre frères",,,rue,de,cléry,34,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3463095947131203,48.867995358521696,34  rue de cléry,Feature,Point,2.346405,48.867987,34 Rue de Cléry 75002 Paris,0.9523227272727272,75102_2110_00034,housenumber,652054.34,6863304.96,0.47555,34 Rue de Cléry,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",34,Rue de Cléry
14,16,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"bonnaud, s & co",,,,,,"étoffes et articles des fab de lyon, nismes et ganges",,,rue,du,chevalier du guet,7,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34622086853155,48.8588492796293,7  rue du chevalier du guet,Feature,Point,2.346534,48.887382,7 Rue du Chevalier de la Barre 75018 Paris,0.547031948051948,75118_1992_00007,housenumber,652081.62,6865461.46,0.58878,7 Rue du Chevalier de la Barre,75018,75118,Paris,Paris 18e Arrondissement,"75, Paris, Île-de-France",7,Rue du Chevalier de la Barre
15,17,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bosquillon,,,,,,fab,,,rue,,neuve saint eustache,13,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34517398917344,48.8672676214252,13  rue  neuve saint eustache,Feature,Point,2.364139,48.853573,Rue Neuve Saint-pierre 75004 Paris,0.47075545454545453,75104_6732,street,653342.3,6861691.57,0.49081,Rue Neuve Saint-pierre,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",,
16,18,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,boudet,,,,,,fab,,,rue,,saint denis,369,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3518527454012204,48.86863523608379,369  rue  saint denis,Feature,Point,2.350142,48.86375,Rue Saint-denis 75002 Paris,0.7503025252525252,75102_8525,street,652324.58,6862831.55,0.47555,Rue Saint-denis,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",,
17,19,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bouré,,,,,,"fabr laines, façon cachemire et madras",,,rue,,meslay,58,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3562141394427405,48.86855963169029,58  rue  meslay,Feature,Point,2.356089,48.868574,58 Rue Meslay 75003 Paris,0.9547799999999999,75103_6286_00058,housenumber,652765.22,6863364.34,0.50258,58 Rue Meslay,75003,75103,Paris,Paris 3e Arrondissement,"75, Paris, Île-de-France",58,Rue Meslay
18,20,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,boursier wion,,,,,,march,,,rue,,saint honoré,414,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.32431871940968,48.8680969074303,414  rue  saint honoré,Feature,Point,2.324272,48.868126,414 Rue Saint-honoré 75008 Paris,0.9549927272727272,75108_8635_00414,housenumber,650430.88,6863333.99,0.50492,414 Rue Saint-honoré,75008,75108,Paris,Paris 8e Arrondissement,"75, Paris, Île-de-France",414,Rue Saint-honoré
19,21,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,brunet & devin,,,,,,fab,,,rue,,bourbon villeneuve,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34890932909217,48.8684194336469,23  rue  bourbon villeneuve,Feature,Point,2.336301,48.85376,Rue de Bourbon le Château 75006 Paris,0.3494566666666666,75106_1184,street,651299.87,6861729.12,0.51069,Rue de Bourbon le Château,75006,75106,Paris,Paris 6e Arrondissement,"75, Paris, Île-de-France",,
20,22,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,brony,,,,,,fab,,,rue,du,pot de fer saint sulpice,14,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.33262134108801,48.8504962431131,14  rue du pot de fer saint sulpice,Feature,Point,2.348761,48.843012,14 Rue du Pot de Fer 75005 Paris,0.5715150688705234,75105_7752_00014,housenumber,652204.24,6860526.49,0.52909,14 Rue du Pot de Fer,75005,75105,Paris,Paris 5e Arrondissement,"75, Paris, Île-de-France",14,Rue du Pot de Fer
21,1467,dentelles et blondes (marchands de),1815,,B1815,,,flamant devergie,,,,,,et toiles,,,rue,,quincampoix,41,,,,,lombards,6.0,,,,precise_geocoding,jacoubet_paris,1,2.3507564381618797,48.86178383869821,41  rue  quincampoix,Feature,Point,2.350402,48.860911,41 Rue Quincampoix 75004 Paris,0.9537099999999998,75104_7970_00041,housenumber,652341.04,6862515.72,0.49081,41 Rue Quincampoix,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",41,Rue Quincampoix
22,1468,dentelles et blondes (marchands de),1815,,B1815,,,lorain,,,,,,,,,rue,,quincampoix,37,,,,,lombards,6.0,,,,precise_geocoding,jacoubet_paris,1,2.3506923628387297,48.8616711868521,37  rue  quincampoix,Feature,Point,2.350331,48.860818,37 Rue Quincampoix 75004 Paris,0.9537099999999998,75104_7970_00037,housenumber,652335.73,6862505.42,0.49081,37 Rue Quincampoix,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",37,Rue Quincampoix
23,23,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"bruzat, mad",,,,,,march de cachemires,,,rue,,chabannais,22,,,,,,,,,,precise_geocoding,jacoubet,1,2.3364121165993397,48.867857092356005,22  rue  chabannais,Feature,Point,2.336573,48.866986,Rue Chabanais 75002 Paris,0.72505,75102_1669,street,651332.14,6863199.61,0.47555,Rue Chabanais,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",,
24,24,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,canet & co,,,,,,fab,,,rue,,neuve saint eustache,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34586474139404,48.8674806904146,23  rue  neuve saint eustache,Feature,Point,2.362393,48.85403,23 Rue Neuve Saint-pierre 75004 Paris,0.5559827272727272,75104_6732_00023,housenumber,653214.58,6861743.38,0.49081,23 Rue Neuve Saint-pierre,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",23,Rue Neuve Saint-pierre
25,25,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"channebot, p",,,,,,fabr,,,rue,,neuve saint eustache,8,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34465041377023,48.86699325172171,8  rue  neuve saint eustache,Feature,Point,2.363709,48.853758,8 Rue Neuve Saint-pierre 75004 Paris,0.5431528152492668,75104_6732_00008,housenumber,653310.92,6861712.36,0.49081,8 Rue Neuve Saint-pierre,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",8,Rue Neuve Saint-pierre
26,26,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,charpentier,,,,,,marchand,,,rue,,neuve des petits champs,64,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3320073069801603,48.8679275648846,64  rue  neuve des petits champs,Feature,Point,2.388125,48.853862,Rue Neuve des Boulets 75011 Paris,0.4589385645933014,75111_6726,street,655102.51,6861709.82,0.57464,Rue Neuve des Boulets,75011,75111,Paris,Paris 11e Arrondissement,"75, Paris, Île-de-France",,
27,27,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,colin frères,,,,,,fab cachemires français,,,rue,des,deux portes saint sauveur,29,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34902514994377,48.866504497268295,29  rue des deux portes saint sauveur,Feature,Point,2.348588,48.866015,29 Rue Saint-sauveur 75002 Paris,0.5367383116883117,75102_8752_00029,housenumber,652212.66,6863084.36,0.47555,29 Rue Saint-sauveur,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",29,Rue Saint-sauveur
28,28,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"corbie, ch-aug",,,,,,"march de cachemires, étoffes de soie, broderies, manteaux de cour et nouveautés",,,rue,,richelieu,10,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3361432553892003,48.8642143599345,10  rue  richelieu,Feature,Point,2.336171,48.864205,10 Rue de Richelieu 75001 Paris,0.7998057575757576,75101_8212_00010,housenumber,651300.05,6862890.61,0.46453,10 Rue de Richelieu,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",10,Rue de Richelieu
29,29,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,cornedecerf renouard,,,,,,fabr façon cachemire,,,rue,,bourbon villeneuve,57,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35129247855132,48.86912728114,57  rue  bourbon villeneuve,Feature,Point,2.336301,48.85376,Rue de Bourbon le Château 75006 Paris,0.3494566666666666,75106_1184,street,651299.87,6861729.12,0.51069,Rue de Bourbon le Château,75006,75106,Paris,Paris 6e Arrondissement,"75, Paris, Île-de-France",,
30,30,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"couraud, louis",,,,,,tissus mérinos et schals imprimés en gros,,,place,des,victoires,9,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34155287906553,48.8655954974377,9  place des victoires,Feature,Point,2.341718,48.865798,9 Place des Victoires 75002 Paris,0.9523227272727272,75102_9741_00009,housenumber,651708.47,6863064.31,0.47555,9 Place des Victoires,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",9,Place des Victoires
31,31,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,degnernel,,,,,,fab,,,rue,du,petit hurleur,4,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3507339282009503,48.864329567647495,4  rue du petit hurleur,Feature,Point,2.34638,48.85258,4 Rue du Petit Pont 75005 Paris,0.55719,75105_7344_00004,housenumber,652038.31,6861591.76,0.52909,4 Rue du Petit Pont,75005,75105,Paris,Paris 5e Arrondissement,"75, Paris, Île-de-France",4,Rue du Petit Pont
32,32,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"delafosse, b & cie",,,,,,"fabr en laines mérinos, cachemires et gazes",,,rue,,saint apolline,20,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35288685448687,48.8691923982379,20  rue  saint apolline,Feature,Point,2.355127,48.868664,Rue Sainte-apolline 75003 Paris,0.7068461157024793,75103_8538,street,652694.76,6863374.9,0.50258,Rue Sainte-apolline,75003,75103,Paris,Paris 3e Arrondissement,"75, Paris, Île-de-France",,
33,33,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delance,,,,,,fab,,,rue,,saint denis,367,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35182653222216,48.8685777094793,367  rue  saint denis,Feature,Point,2.350142,48.86375,Rue Saint-denis 75002 Paris,0.7503025252525252,75102_8525,street,652324.58,6862831.55,0.47555,Rue Saint-denis,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",,
34,34,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delasalle ainé & cie,,,,,,fab façon cachemire,,,rue,,neuve saint eustache,30,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3456984132559304,48.867327712640495,30  rue  neuve saint eustache,Feature,Point,2.364139,48.853573,Rue Neuve Saint-pierre 75004 Paris,0.47075545454545453,75104_6732,street,653342.3,6861691.57,0.49081,Rue Neuve Saint-pierre,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",,
35,36,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delon fils,,,,,,dépôt de schals et madras de leur fab de nismes,,,rue,,neuve saint eustache,34,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3459668864723198,48.8674146573684,34  rue  neuve saint eustache,Feature,Point,2.364139,48.853573,Rue Neuve Saint-pierre 75004 Paris,0.47075545454545453,75104_6732,street,653342.3,6861691.57,0.49081,Rue Neuve Saint-pierre,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",,
36,37,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,domantis,,,,,,fab façon cachemire,,,rue,,saint antoine,206,?,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.36528738427066,48.8536953372196,206 ? rue  saint antoine,Feature,Point,2.367989,48.853201,Rue Saint-antoine 75004 Paris,0.7718918181818182,75104_8490,street,653624.46,6861647.97,0.49081,Rue Saint-antoine,75004,75104,Paris,Paris 4e Arrondissement,"75, Paris, Île-de-France",,
37,38,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,derné & dubois,,,,,,fab et magasin de tissus mérinos et schals imprimés,,,rue,du,bouloi,10,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34038269887724,48.863389000385894,10  rue du bouloi,Feature,Point,2.339821,48.863049,Rue du Bouloi 75001 Paris,0.7695027272727272,75101_1178,street,651566.74,6862759.81,0.46453,Rue du Bouloi,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",,
38,39,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,d'hubert,,,,,,,,,rue,,saint denis,370,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35185132670441,48.8681054026753,370  rue  saint denis,Feature,Point,2.350142,48.86375,Rue Saint-denis 75002 Paris,0.7503025252525252,75102_8525,street,652324.58,6862831.55,0.47555,Rue Saint-denis,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",,
39,40,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,dombre & aurivel,,,,,,"schals de laine, madras de leur fabrique de Nismes",,,rue,,pavée saint sauveur,20,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3472050606397996,48.864765960009606,20  rue  pavée saint sauveur,Feature,Point,2.348221,48.86616,20 Rue Saint-sauveur 75002 Paris,0.734140909090909,75102_8752_00020,housenumber,652185.87,6863100.66,0.47555,20 Rue Saint-sauveur,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",20,Rue Saint-sauveur
